date,read,link
2월 28일,사사기 10-13장,https://www.youtube.com/playlist?list=PL-MVshquUXWFeJy_H-bUM28B6rnB7EDG2
2월 29일,사사기 14-17장,https://www.youtube.com/playlist?list=PL-MVshquUXWFsm3wMZQymklSE9mnEUobv
3월 1일,사사기 18-21장,https://www.youtube.com/playlist?list=PL-MVshquUXWFrfi2XUApd2w7y-Pa67OeT
3월 2일,룻기 1-4장,https://www.youtube.com/playlist?list=PL-MVshquUXWEGSf1hyqSEpVkohVXRwirD
3월 4일,사무엘상 1-5장,https://www.youtube.com/playlist?list=PL-MVshquUXWEf2Kte9ep7rhts3qTQGsvT
3월 5일,사무엘상 6-10장,https://www.youtube.com/playlist?list=PL-MVshquUXWEEDMblVDmq9YFt8Nw9pITE
3월 6일,사무엘상 11-14장,https://www.youtube.com/playlist?list=PL-MVshquUXWEHdJZusTortP1OhO9FDx0A
3월 7일,"사무엘상 15-19장, 시편 59편 ",https://www.youtube.com/playlist?list=PL-MVshquUXWE_c4C-ttVGU6Qqnd9yvolH
3월 8일,"사무엘상 20-21장, 시편 34편, 사무엘상 22장, 시편 52편 ",https://www.youtube.com/playlist?list=PL-MVshquUXWEw-naBV11vI6CDgxYcqGFK
3월 9일,"사무엘상 23-24장, 시편 57편, 사무엘상 25-26장, 시편 54편 ",https://www.youtube.com/playlist?list=PL-MVshquUXWE2N63G3fGr2XMV-u_hwqvT
3월 11일,사무엘상 27-31장,https://www.youtube.com/playlist?list=PL-MVshquUXWGVqi1jfuPH_yrrdKuvh4VI
3월 12일,사무엘하 1장-5:5절,https://www.youtube.com/playlist?list=PL-MVshquUXWFtMkFGVaXaMt-cEmMZzthw
3월 13일,사무엘하 5:6절-10장,https://www.youtube.com/playlist?list=PL-MVshquUXWE4KP-5D3O_cXhJS6F37oWq
3월 14일,"사무엘하 11-12장, 시편 51편, 사무엘하 13-14장 ",https://www.youtube.com/playlist?list=PL-MVshquUXWEKUvRoYprfC2_Co3J-yHSE
3월 15일,"사무엘하 15장, 시편 3편, 사무엘하 16-19장 ",https://www.youtube.com/playlist?list=PL-MVshquUXWH4267qBuh0J20k2h8Ih9Ez
3월 16일,사무엘하 20-24장,https://www.youtube.com/playlist?list=PL-MVshquUXWH358G9vt0diRCvVytCGdpO
3월 18일,열왕기상 1-3장,https://www.youtube.com/playlist?list=PL-MVshquUXWFKkQM-Q_PmCIUFyw4PK7po
3월 19일,열왕기상 4-7장,https://www.youtube.com/playlist?list=PL-MVshquUXWF19JwtrHx1Q2HM7Qe0x7z2
3월 20일,열왕기상 8-10장,https://www.youtube.com/playlist?list=PL-MVshquUXWGn7D0qwp0VeGPAU-4fLNQx
3월 21일,잠언 1-5장,https://www.youtube.com/playlist?list=PL-MVshquUXWEtB9h00vwBDXay5Smd4Ixq
3월 22일,잠언 6-10장,https://www.youtube.com/playlist?list=PL-MVshquUXWFT5_Fx246VHVb9P-BL_YWo
